Article,Variables,Trend,Timeseries length [yr],Period,Number of individual years covers,Frequency [obs/yr],Number of stations,Stations,River basin,Nation,Continent,Basin area [km2],Method,Method parameters,,,,,,,,
9,Total phosphorus load,0,29,1992-2020,29,monthly,1,"Pontelagoscuro gauging station (44ø53?19.34?N, 11ø36?29.60?E)",Po River,Italy,Europe,"75,000",Mann Kendall test,"Kendall's tau = -0.202, p = 0.1287, Sen's slope = -95.631",,,,,,,,
9,Flow-normalized total phosphorus load,0,29,1992-2020,29,monthly,1,"Pontelagoscuro gauging station (44ø53?19.34?N, 11ø36?29.60?E)",Po River,Italy,Europe,"75,000",Mann Kendall test,"Kendall's tau = -0.123, p = 0.3580, Sen's slope = -27.297",,,,,,,,
9,Phosphate load,0,29,1992-2020,29,monthly,1,"Pontelagoscuro gauging station (44ø53?19.34?N, 11ø36?29.60?E)",Po River,Italy,Europe,"75,000",Mann Kendall test,"Kendall's tau = -0.256, p = 0.0533, Sen's slope = -39.780",,,,,,,,
9,Flow-normalized phosphate load,0,29,1992-2020,29,monthly,1,"Pontelagoscuro gauging station (44ø53?19.34?N, 11ø36?29.60?E)",Po River,Italy,Europe,"75,000",Mann Kendall test,"Kendall's tau = -0.143, p = 0.2850, Sen's slope = -14.531",,,,,,,,
9,water temperature,+,29,1992-2020,29,daily,2,"Piacenza (Emilia-Romagna Region, river kilometer 330)",Po River,Italy,Europe,"75,000",Mann Kendall test,"Kendall's tau = 0.695, p <0.0001, Sen's slope = 0.124",,,,,,,,
11,total nitrogen,-,22,"2000-2002, 2005-2021",20,yearly,1,SWL1,Shiwuli River,China,Asia,111,Mann Kendall test,p < 0.05,,,,,,,,
11,total phosphorus,-,22,"2000-2002, 2005-2021",20,yearly,1,SWL1,Shiwuli River,China,Asia,111,Mann Kendall test,p < 0.05,,,,,,,,
11,Chemical oxygen demand,-,22,"2000-2002, 2005-2021",20,yearly,1,SWL1,Shiwuli River,China,Asia,111,Mann Kendall test,p < 0.05,,,,,,,,
11,Total ammonia nitrogen,-,22,"2000-2002, 2005-2021",20,yearly,1,SWL1,Shiwuli River,China,Asia,111,Mann Kendall test,p < 0.05,,,,,,,,
11,total phosphorus,-,17,2005-2021,17,yearly,1,HB2,Hangbu River,China,Asia,"4,246",Mann Kendall test,p < 0.05,,,,,,,,
11,Chemical oxygen demand,-,17,2005-2021,17,yearly,1,HB2,Hangbu River,China,Asia,"4,246",Mann Kendall test,p < 0.05,,,,,,,,
