Article,Variables,Trend,Timeseries length [yr],Period,Number of individual years covers,Frequency [obs/yr],Number of stations,Stations,River basin,Nation,Continent,Basin area [km2],Method,Method parameters,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Oriono-bashi,Yamato River,Japan,Asia,"1,077","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Hirakata-ohashi (chuoh),Yodo River,Japan,Asia,"8,240","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Hirakata-ohashi (chuoh),Yodo River,Japan,Asia,"8,240","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,-,30,"1980-1989, 2000-2009",20,monthly,1,Osumi-bashi,Kako River,Japan,Asia,"1,730","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,-,30,"1980-1989, 2000-2009",20,monthly,1,Osumi-bashi,Kako River,Japan,Asia,"1,730","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Osumi-bashi,Kako River,Japan,Asia,"1,730","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,-,30,"1980-1989, 2000-2009",20,monthly,1,Kamigawara,Ibo River,Japan,Asia,810,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Kamigawara,Ibo River,Japan,Asia,810,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Kamigawara,Ibo River,Japan,Asia,810,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Otoitezeki,Asahi River,Japan,Asia,"1,810","F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,total nitrogen,+,30,"1980-1989, 2000-2009",20,monthly,1,Kasaizeki,Takahashi River,Japan,Asia,"2,670","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Kasaizeki,Takahashi River,Japan,Asia,"2,670","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Kasaizeki,Takahashi River,Japan,Asia,"2,670","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,-,30,"1980-1989, 2000-2009",20,monthly,1,Nakastuhara,Ashida River,Japan,Asia,870,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,-,30,"1980-1989, 2000-2009",20,monthly,1,Nakastuhara,Ashida River,Japan,Asia,870,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Nakastuhara,Ashida River,Japan,Asia,870,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,+,30,"1980-1989, 2000-2009",20,monthly,1,Ogawazu,Oze River,Japan,Asia,340,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,0,30,"1980-1989, 2000-2009",20,monthly,1,Ogawazu,Oze River,Japan,Asia,340,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,0,30,"1980-1989, 2000-2009",20,monthly,1,Ogawazu,Oze River,Japan,Asia,340,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,total nitrogen,+,30,"1980-1989, 2000-2009",20,monthly,1,Sin-bashi,Saba River,Japan,Asia,423,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Sin-bashi,Saba River,Japan,Asia,423,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,0,30,"1980-1989, 2000-2009",20,monthly,1,Sin-bashi,Saba River,Japan,Asia,423,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Marugame-bashi,Doki River,Japan,Asia,127,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,nitrate,0,30,"1980-1989, 2000-2009",20,monthly,1,Marugame-bashi,Doki River,Japan,Asia,127,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,+,30,"1980-1989, 2000-2009",20,monthly,1,Marugame-bashi,Doki River,Japan,Asia,127,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Deai-bashi,Shigenobu River,Japan,Asia,445,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Deai-bashi,Shigenobu River,Japan,Asia,445,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Doi-ohashi,Nakasuji River,Japan,Asia,145,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,0,30,"1980-1989, 2000-2009",20,monthly,1,Doi-ohashi,Nakasuji River,Japan,Asia,145,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Fukabuchi,Monobe River,Japan,Asia,508,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Fukabuchi,Monobe River,Japan,Asia,508,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Fukabuchi,Monobe River,Japan,Asia,508,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,-,30,"1980-1989, 2000-2009",20,monthly,1,Nakagawa-bashi,Naka River,Japan,Asia,"3,270","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,0,30,"1980-1989, 2000-2009",20,monthly,1,Nakagawa-bashi,Naka River,Japan,Asia,"3,270","F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,+,30,"1980-1989, 2000-2009",20,monthly,1,Nakagawa-bashi,Naka River,Japan,Asia,"3,270","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Shimomiyanaga,Yamakuni River,Japan,Asia,540,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,nitrate,0,30,"1980-1989, 2000-2009",20,monthly,1,Shimomiyanaga,Yamakuni River,Japan,Asia,540,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,0,30,"1980-1989, 2000-2009",20,monthly,1,Shimomiyanaga,Yamakuni River,Japan,Asia,540,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Funai-ohashi,Oita River,Japan,Asia,650,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,nitrate,0,30,"1980-1989, 2000-2009",20,monthly,1,Funai-ohashi,Oita River,Japan,Asia,650,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Funai-ohashi,Oita River,Japan,Asia,650,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,+,30,"1980-1989, 2000-2009",20,monthly,1,Shirataki-bashi,Ohno River,Japan,Asia,"1,465","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Shirataki-bashi,Ohno River,Japan,Asia,"1,465","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Shirataki-bashi,Ohno River,Japan,Asia,"1,465","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,+,30,"1980-1989, 2000-2009",20,monthly,1,Banjoh-bashi,Banjo River,Japan,Asia,464,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Banjoh-bashi,Banjo River,Japan,Asia,464,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,0,30,"1980-1989, 2000-2009",20,monthly,1,Banjoh-bashi,Banjo River,Japan,Asia,464,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Matsuyama-bashi,Gokase River,Japan,Asia,"1,820","F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Matsuyama-bashi,Gokase River,Japan,Asia,"1,820","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,0,30,"1980-1989, 2000-2009",20,monthly,1,Matsuyama-bashi,Gokase River,Japan,Asia,"1,820","F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,total nitrogen,+,30,"1980-1989, 2000-2009",20,monthly,1,Takajo-bashi,Omaru River,Japan,Asia,474,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Takajo-bashi,Omaru River,Japan,Asia,474,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Takajo-bashi,Omaru River,Japan,Asia,474,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Aioi-bashi,Oyodo River,Japan,Asia,"2,230","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,0,30,"1980-1989, 2000-2009",20,monthly,1,Aioi-bashi,Oyodo River,Japan,Asia,"2,230","F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,total nitrogen,+,30,"1980-1989, 2000-2009",20,monthly,1,Matase,Kimotsuki River,Japan,Asia,106,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Matase,Kimotsuki River,Japan,Asia,106,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,+,30,"1980-1989, 2000-2009",20,monthly,1,Matase,Kimotsuki River,Japan,Asia,106,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,+,30,"1980-1989, 2000-2009",20,monthly,1,Hinode-bashi,Onga River,Japan,Asia,"1,030","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,0,30,"1980-1989, 2000-2009",20,monthly,1,Hinode-bashi,Onga River,Japan,Asia,"1,030","F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Hinode-bashi,Onga River,Japan,Asia,"1,030","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Funagoya,Yabe River,Japan,Asia,618,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,nitrate,0,30,"1980-1989, 2000-2009",20,monthly,1,Funagoya,Yabe River,Japan,Asia,618,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Funagoya,Yabe River,Japan,Asia,618,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,-,30,"1980-1989, 2000-2009",20,monthly,1,Senoshita,Chikugo River,Japan,Asia,"2,863","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,0,30,"1980-1989, 2000-2009",20,monthly,1,Senoshita,Chikugo River,Japan,Asia,"2,863","F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Senoshita,Chikugo River,Japan,Asia,"2,863","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Yokoishi,Kuma River,Japan,Asia,"1,880","F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Yokoishi,Kuma River,Japan,Asia,"1,880","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Jonan,Midori River,Japan,Asia,"1,213","F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Jonan,Midori River,Japan,Asia,"1,213","F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,0,30,"1980-1989, 2000-2009",20,monthly,1,Jonan,Midori River,Japan,Asia,"1,213","F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Yotsugi-bashi,Shira River,Japan,Asia,13,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,nitrate,+,30,"1980-1989, 2000-2009",20,monthly,1,Yotsugi-bashi,Shira River,Japan,Asia,13,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Yotsugi-bashi,Shira River,Japan,Asia,13,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,0,30,"1980-1989, 2000-2009",20,monthly,1,Shiraishi,Kikuchi River,Japan,Asia,996,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Shiraishi,Kikuchi River,Japan,Asia,996,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Kanjin-bashi,Kase River,Japan,Asia,368,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,0,30,"1980-1989, 2000-2009",20,monthly,1,Kanjin-bashi,Kase River,Japan,Asia,368,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,total nitrogen,0,30,"1980-1989, 2000-2009",20,monthly,1,Wadayama-bashi,Matsuura River,Japan,Asia,446,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,-,30,"1980-1989, 2000-2009",20,monthly,1,Wadayama-bashi,Matsuura River,Japan,Asia,446,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,total nitrogen,+,30,"1980-1989, 2000-2009",20,monthly,1,Tenmankoenmae,Honmyo River,Japan,Asia,87,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
31,nitrate,0,30,"1980-1989, 2000-2009",20,monthly,1,Tenmankoenmae,Honmyo River,Japan,Asia,87,"F test, Mann?Whitney U test, and Brunner-Munzel test",p > 0.05,,,,,,,,
31,Ammonium,+,30,"1980-1989, 2000-2009",20,monthly,1,Tenmankoenmae,Honmyo River,Japan,Asia,87,"F test, Mann?Whitney U test, and Brunner-Munzel test",p < 0.05,,,,,,,,
36,water discharge,+,36,1946-1981,36,daily,3,"Zalishchyky, Mohyliv-Podilskyi, and Bender",Dniester River,Ukraine,Europe,"72,100",simple linear regression,y = 0.19x - 6.82,,,,,,,,
36,water discharge,-,34,1987-2020,34,daily,4,"Zalishchyky, Mohyliv-Podilskyi, Bender, and Maiaky",Dniester River,Ukraine,Europe,"72,100",simple linear regression,y = -0.017x + 8.89,,,,,,,,
36,dissolved silicon,-,69,"1952-1954, 1977-1978, 1985-1988, 2003-2004, 2018-2020",14,monthly,2,Palanca and Maiaky villages,Dniester River,Moldova,Europe,"72,100",,,,,,,,,,
36,Dissolved inorganic phosphorus,-,44,"1977-1978, 1985-1988, 2003-2004, 2018-2020",11,monthly,2,Palanca and Maiaky villages,Dniester River,Moldova,Europe,"72,100",,,,,,,,,,
36,Total dissolved nitrogen,-,44,"1977-1978, 1985-1988, 2003-2004, 2018-2020",11,monthly,2,Palanca and Maiaky villages,Dniester River,Moldova,Europe,"72,100",,,,,,,,,,
37,total nitrogen,-,25,1994-2018,25,monthly,3,HR9-11 (Down),Han River,South Korea,Asia,"34,128",simple linear regression,p < 0.05,,,,,,,,
37,total phosphorus,-,25,1994-2018,25,monthly,11,HR1-11,Han River,South Korea,Asia,"34,128",simple linear regression,p < 0.01,,,,,,,,
37,TN:TP,+,25,1994-2018,25,monthly,8,HR1-8 (up + mid),Han River,South Korea,Asia,"34,128",simple linear regression,p < 0.01,,,,,,,,
37,Chlorophyll-a,0,18,2001-2018,18,monthly,11,HR1-11,Han River,South Korea,Asia,"34,128",simple linear regression,p > 0.05,,,,,,,,
38,Chlorophyll-a,-,23,1997-2019,23,quarterly,12-14,,Charles River,USA,North America,778,Ordinary least squares regression,"y = -6(5)*10^-4x + 8(1), R2 = 0.01, p < 0.001,",,,,,,,,
38,total phosphorus,-,23,1997-2019,23,quarterly,12-14,,Charles River,USA,North America,778,Ordinary least squares regression,"y = -4(1)*10^-6x + 6.5(3)*10^-2, R2 = 0.082, p < 0.001",,,,,,,,
38,phosphate,-,23,1997-2019,23,quarterly,12-14,,Charles River,USA,North America,778,Ordinary least squares regression,"y = -9(6)*10^-7x + 2.1(1)*10^-2, R2 = 0.024, p < 0.001",,,,,,,,
38,Ammonium,-,23,1997-2019,23,quarterly,12-14,,Charles River,USA,North America,778,Ordinary least squares regression,"y = -7(4)*10^-6x +8.2(9)*10^-2, R2 = 0.025, p < 0.001",,,,,,,,
38,total nitrogen,0,23,1997-2019,23,quarterly,12-14,,Charles River,USA,North America,778,Ordinary least squares regression,p > 0.001,,,,,,,,
38,TN:TP,+,23,1997-2019,23,quarterly,12-14,,Charles River,USA,North America,778,Ordinary least squares regression,"y = 0.8(4)x + 27(2), R2 = 0.03, p < 0.001",,,,,,,,
39,Nitrogen surplus,+,22,1966-1987,22,yearly,1,North Rhine-Westphalia,Ruhr River,Germany,Europe,"4,485",,,,,,,,,,
39,Nitrogen surplus,-,27,1987-2013,27,yearly,1,North Rhine-Westphalia,Ruhr River,Germany,Europe,"4,485",,,,,,,,,,
39,Ammonium,+,11,1966-1976,11,weekly,2,UP1-2,Ruhr River,Germany,Europe,"4,485",non-parametric locally weighted regression,,,,,,,,,
39,Ammonium,-,43,1971-2013,43,weekly,3,DOWN1-3,Ruhr River,Germany,Europe,"4,485",non-parametric locally weighted regression,,,,,,,,,
39,Ammonium,-,42,1972-2013,42,weekly,2,MID1-2,Ruhr River,Germany,Europe,"4,485",non-parametric locally weighted regression,,,,,,,,,
39,Ammonium,-,38,1976-2013,38,weekly,2,UP1-2,Ruhr River,Germany,Europe,"4,485",non-parametric locally weighted regression,,,,,,,,,
39,nitrate,-,23,1991-2013,23,weekly,5,UP1-2 and DOWN1-3,Ruhr River,Germany,Europe,"4,485",non-parametric locally weighted regression,,,,,,,,,
39,nitrate,-,22,1992-2013,22,weekly,2,MID1-2,Ruhr River,Germany,Europe,"4,485",non-parametric locally weighted regression,,,,,,,,,
39,Dissolved inorganic nitrogen,-,23,1991-2013,23,weekly,5,UP1-2 and DOWN1-3,Ruhr River,Germany,Europe,"4,485",non-parametric locally weighted regression,,,,,,,,,
39,Dissolved inorganic nitrogen,-,18,1996-2013,18,weekly,2,MID1-2,Ruhr River,Germany,Europe,"4,485",non-parametric locally weighted regression,,,,,,,,,
39,total phosphorus,+,11,1966-1976,11,weekly,7,"UP, MID, DOWN",Ruhr River,Germany,Europe,"4,485",non-parametric locally weighted regression,,,,,,,,,
39,total phosphorus,-,38,1976-2013,38,weekly,7,"UP, MID, DOWN",Ruhr River,Germany,Europe,"4,485",non-parametric locally weighted regression,,,,,,,,,
41,water temperature,0,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = 0.015, slope = 0.009, p = 0.419",,,,,,,,
41,Dissolved oxygen,0,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = ?0.005, slope = ?0.030, p = 0.773",,,,,,,,
41,pH,0,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = ?0.041, slope = ?0.007, p = 0.063",,,,,,,,
41,Euphotic depth,+,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = 0.244, slope = 4.500, p b 0.001",,,,,,,,
41,Electrical conductivity,-,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = ?0.124, slope =?2.333, p < 0.001",,,,,,,,
41,Alkalinity,+,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = 0.103, slope = 0.364, p < 0.001",,,,,,,,
41,Turbidity,+,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = 0.063, slope = 0.067, p = 0.003",,,,,,,,
41,total nitrogen,-,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = ?0.228, slope = ?0.051, p < 0.001",,,,,,,,
41,total phosphorus,-,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = ?0.353, slope = ?4.343, p < 0.001",,,,,,,,
41,nitrate,-,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = ?0.186, slope = ?0.029, p < 0.001",,,,,,,,
41,phosphate,-,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = ?0.071, slope = ?0.389, p = 0.004",,,,,,,,
41,dissolved silicon,-,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = ?0.164, slope = ?0.103, p < 0.001",,,,,,,,
41,Chlorophyll-a,-,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = ?0.220, slope = ?0.667, p < 0.001",,,,,,,,
41,Water level,+,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = 0.429, slope = 0.014, p < 0.001",,,,,,,,
41,water discharge,-,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = ?0.122, slope = ?6.728, p < 0.001",,,,,,,,
41,Phytoplankton biomass,-,24,"1993-2001, 2003-2016",23,weekly,1,20 m off- shore of Mulgeum (river km 27),Nakdong River,South Korea,Asia,"23,690",Mann Kendall test,"tau = ?0.489, slope = ?0.081, p < 0.001",,,,,,,,
43,total nitrogen,-,19,2002-2020,19,monthly,3,"Yeongsan Reservoir (Rz, Tz, and Lz)",Yeongsan River,South Korea,Asia,"3,468",ANOVA test,"H = 18.48, p < 0.01",,,,,,,,
43,total phosphorus,-,19,2002-2020,19,monthly,3,"Yeongsan Reservoir (Rz, Tz, and Lz)",Yeongsan River,South Korea,Asia,"3,468",ANOVA test,"H = 90.88, p < 0.01",,,,,,,,
43,Total dissolved phosphorus,-,19,2002-2020,19,monthly,3,"Yeongsan Reservoir (Rz, Tz, and Lz)",Yeongsan River,South Korea,Asia,"3,468",ANOVA test,"H = 92.22, p < 0.01",,,,,,,,
43,Particulate phosphorus,0,19,2002-2020,19,monthly,3,"Yeongsan Reservoir (Rz, Tz, and Lz)",Yeongsan River,South Korea,Asia,"3,468",ANOVA test,"H = 0.04, p > 0.01",,,,,,,,
43,TDP:TP,-,19,2002-2020,19,monthly,3,"Yeongsan Reservoir (Rz, Tz, and Lz)",Yeongsan River,South Korea,Asia,"3,468",ANOVA test,"H = 39.42, p < 0.01",,,,,,,,
43,PP:TP,+,19,2002-2020,19,monthly,3,"Yeongsan Reservoir (Rz, Tz, and Lz)",Yeongsan River,South Korea,Asia,"3,468",ANOVA test,"H = 39.42, p < 0.01",,,,,,,,
43,TN:TP,+,19,2002-2020,19,monthly,3,"Yeongsan Reservoir (Rz, Tz, and Lz)",Yeongsan River,South Korea,Asia,"3,468",ANOVA test,"H = 32.06, p < 0.01",,,,,,,,
43,Chlorophyll-a,+,19,2002-2020,19,monthly,3,"Yeongsan Reservoir (Rz, Tz, and Lz)",Yeongsan River,South Korea,Asia,"3,468",ANOVA test,"H = 18.70, p < 0.01",,,,,,,,
43,Chl-a:TP,+,19,2002-2020,19,monthly,3,"Yeongsan Reservoir (Rz, Tz, and Lz)",Yeongsan River,South Korea,Asia,"3,468",ANOVA test,"H = 63.50, p < 0.01",,,,,,,,
43,Chl-a:TN,+,19,2002-2020,19,monthly,3,"Yeongsan Reservoir (Rz, Tz, and Lz)",Yeongsan River,South Korea,Asia,"3,468",ANOVA test,"H = 11.90, p < 0.01",,,,,,,,
